34,34,34,34,34,166,166,166,166,166,166,166,166,166,273,166,166,166,166,273,166,170,188,188,188,188,188,188,188,171
34,34,34,34,273,166,272,166,273,166,166,271,166,270,166,170,188,188,188,188,188,189,265,265,265,265,265,264,265,165
34,34,170,171,34,170,188,188,188,188,188,188,188,188,188,189,265,265,264,265,264,265,264,265,264,265,264,265,264,165
34,270,192,193,271,167,264,157,265,264,265,264,264,265,264,264,265,265,265,265,265,265,265,154,155,155,155,155,156,165
34,34,34,272,170,189,265,179,265,265,264,265,264,265,264,264,264,265,158,221,221,221,221,248,177,177,177,177,178,165
34,34,34,273,167,264,265,179,264,264,264,265,265,264,265,158,221,221,227,265,265,264,264,198,199,199,199,199,200,165
34,34,270,170,189,158,162,227,265,264,265,265,265,264,265,179,265,265,265,264,264,264,265,264,265,265,264,265,264,165
166,166,271,167,264,179,264,265,265,264,264,264,264,265,265,179,264,264,264,264,265,265,265,264,264,265,264,265,264,165
34,166,170,189,265,179,265,157,265,264,264,265,264,265,265,179,265,264,264,265,265,264,265,265,264,265,264,265,264,165
34,273,167,264,265,179,264,179,264,265,264,265,264,265,265,179,264,265,264,265,265,264,265,264,264,264,264,265,265,165
34,166,167,265,265,224,221,228,221,221,162,221,221,221,221,228,161,265,265,265,264,265,265,264,265,265,265,264,265,165
34,272,167,264,265,265,264,264,265,265,179,264,264,265,264,265,179,265,264,265,264,265,264,265,265,264,265,265,264,165
34,166,167,264,264,264,264,265,265,265,179,265,264,265,265,265,179,265,264,264,265,265,265,265,265,264,264,264,265,165
34,166,167,265,265,265,158,221,221,221,227,265,264,265,264,265,179,265,265,264,264,265,265,264,265,264,264,265,265,165
166,271,192,144,145,264,179,267,267,267,265,264,265,265,264,265,179,264,265,265,265,265,154,155,155,155,155,155,156,165
166,166,166,273,167,265,179,264,143,144,145,265,264,264,265,265,224,221,221,161,265,265,176,242,177,177,177,242,178,165
166,166,166,272,167,265,179,267,165,271,167,265,265,265,264,265,265,264,265,224,221,161,176,177,242,177,177,177,178,165
166,166,170,188,189,264,201,265,187,171,192,144,144,144,144,145,264,265,264,265,265,224,248,177,177,177,177,243,178,165
166,270,167,265,265,264,265,264,265,165,272,166,166,270,271,192,144,144,145,265,264,265,198,199,199,199,199,199,200,165
166,166,192,144,144,144,144,144,144,193,166,166,166,166,166,166,166,273,192,144,144,144,144,144,144,144,144,144,144,193
